,release_year,rating
1294,2021,TV-MA
1295,2019,TV-MA
1296,2021,TV-14
1297,2018,TV-14
1298,2021,TV-14
1299,2021,TV-MA
1300,2021,TV-MA
1301,2021,TV-MA
1302,2021,TV-14
1303,2018,TV-PG
1304,2021,TV-PG
1305,2002,TV-14
1306,2020,TV-MA
1307,2017,PG
1308,2021,TV-Y7
1309,2018,TV-14
1310,2021,TV-14
1311,2021,TV-14
1312,2020,TV-MA
1313,2021,TV-14
1314,2005,TV-MA
1315,2021,TV-MA
1316,2019,TV-MA
1317,2021,TV-G
1318,2021,TV-14
1319,2021,TV-Y7
1320,2019,TV-MA
1321,2016,TV-MA
1322,2018,TV-14
1323,2020,TV-14
1324,2012,R
1325,2021,TV-MA
1326,2021,TV-14
1327,2008,TV-MA
1328,2021,TV-MA
1329,2021,TV-MA
1330,2019,PG
1331,1945,TV-MA
1332,2008,TV-G
1333,2016,R
1334,2020,TV-14
1335,2020,TV-MA
1336,2017,TV-MA
1337,2017,TV-PG
1338,2021,TV-MA
1339,2021,TV-MA
1340,2020,TV-14
1341,2021,R
